名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司,开发商
徐家浜新村,工业园区东环,东环路120号,22546,板楼/塔板结合,1786户,55栋,商品房/已购公房/动迁安置房/私产,暂无信息 ,0.6元/平米/月,苏州工业园区娄葑安洁物业管理有限公司,苏州房地产开发有限公司
娄门路130号,工业园区东环,娄门路130号,24419,板楼,285户,8栋,商品房,暂无信息 ,0.5元/平米/月,苏州工业园区房地产发展有限公司,无
东方花园(工业园区),工业园区东环,现代大道188号,30407,板楼/塔板结合,1041户,41栋,商品房/使用权/私产,暂无信息 ,0.6至0.8元/平米/月,苏州工业园区建屋物业发展有限公司,苏州工业园区建屋置业有限公司
徐家浜二村,工业园区东环,东环路与中新路交接处,22189,板楼,2541户,65栋,商品房/动迁安置房,暂无信息 ,0.3元/平米/月,苏州工业园区娄葑安洁物业管理有限公司,苏州市房地产开发总公司
宏葑四村,工业园区东环,东环路(苏大东校区对面,22695,板楼,759户,31栋,商品房/私产,暂无信息 ,0.4至0.6元/平米/月,苏州工业园区娄葑安洁物业管理有限公司,苏州工业园区娄葑建发房地产有限公司
华庭苑,工业园区东环,星明街217号,37886,板楼,492户,9栋,商品房/使用权,暂无信息 ,1.95元/平米/月,苏州华新国际物业管理有限公司,苏州华庭苑房产开发有限公司
东方花园(工业园区),工业园区东环,现代大道188号,30407,板楼/塔板结合,1041户,41栋,商品房/使用权/私产,暂无信息 ,0.6至0.8元/平米/月,苏州工业园区建屋物业发展有限公司,苏州工业园区建屋置业有限公司
徐家浜8号小区,工业园区东环,东环路1320号,22936,板楼,225户,9栋,商品房,暂无信息 ,0.5元/平米/月,苏州工业园区娄葑安洁物业管理有限公司,苏州房地产开发有限公司
富华苑,工业园区东环,机场路1号,22726,板楼,1243户,35栋,商品房,暂无信息 ,1至1.2元/平米/月,苏州工业园区娄葑安洁物业管理有限公司,苏州工业园区大统房地产开发有限公司
苏安新村,工业园区东环,苏安路2号,24818,板楼,6621户,181栋,商品房/动迁安置房/私产,暂无信息 ,0.4元/平米/月,暂无信息,苏州工业园区政府建筑
新馨花园,工业园区东环,"中新路5号, 苏州大道西261号",49808,板楼,1202户,47栋,商品房,暂无信息 ,0.7至1.85元/平米/月,建屋发展物业有限公司,苏州工业园区建屋发展有限公司
娄门路166号,工业园区东环,娄门路166号,22649,板楼/平房,268户,8栋,商品房,暂无信息 ,0.1至0.3元/平米/月,苏州工业园区房地产发展有限公司,物业和度娘都不知道开发商名称
娄门路130号,工业园区东环,娄门路130号,24419,板楼,285户,8栋,商品房,暂无信息 ,0.5元/平米/月,苏州工业园区房地产发展有限公司,无
东港二村,工业园区东环,东环路88号,27313,板楼,3619户,94栋,商品房/动迁安置房/使用权/公租房,暂无信息 ,0.05至0.8元/平米/月,苏州市佳顺物业有限公司,苏州市政
绿城花园,工业园区东环,飘一路17号,35331,板楼,286户,5栋,商品房,暂无信息 ,1.5元/平米/月,苏州工业园区易通亚信物业管理有限公司,苏州市广大置业有限公司
一斗山路,工业园区东环,一斗山路1号,24531,板楼,421户,5栋,商品房,暂无信息 ,0.6元/平米/月,苏州市嘉顺物业有限公司,苏州市江平房地产建设有限公司
新苏苑二区,工业园区东环,娄门路88号,23733,板楼,856户,15栋,商品房/动迁安置房,暂无信息 ,1.3至1.4元/平米/月,暂无信息,苏州工业园区城市重建有限公司
书香苑（园区）,工业园区东环,东环路1318号,20656,板楼,256户,8栋,商品房,暂无信息 ,1.3至1.31元/平米/月,苏州相城经济开发房地产有限公司,相城经济开发有限公司
韶山花园,工业园区东环,中新路55号,40404,板楼,448户,20栋,商品房,暂无信息 ,0.5元/平米/月,苏州申海物业服务有限公司,苏州工业园区长鑫房地产开发有限公司
徐家浜新村,工业园区东环,东环路120号,22546,板楼/塔板结合,1786户,55栋,商品房/已购公房/动迁安置房/私产,暂无信息 ,0.6元/平米/月,苏州工业园区娄葑安洁物业管理有限公司,苏州房地产开发有限公司
金湖阁,工业园区东环,金鸡湖路1250号,26505,板楼,150户,6栋,商品房,暂无信息 ,0.4至0.6元/平米/月,苏州工业园区兴园房地产有限公司,苏州工业园区兴园房地产有限公司
风华苑,工业园区东环,"东环路658号, 东环路660号",21724,板楼/塔板结合,257户,3栋,商品房,暂无信息 ,1.3元/平米/月,苏州联发房地产物业公司,苏州联发房地产有限公司
东港怡乐花园,工业园区东环,东环路与现代大道交界处,38121,板楼,73户,12栋,商品房,暂无信息 ,1.2元/平米/月,苏州市佳顺物业有限公司,物业和度娘都不知道开发商名称
东淳苑,工业园区东环,东环路与娄花南街交叉口,27887,板楼,200户,7栋,商品房,暂无信息 ,0.6至1.3元/平米/月,苏州市佳顺物业有限公司,市政建设
夏家桥100号,工业园区东环,夏家桥100号,21303,板楼,103户,2栋,商品房,暂无信息 ,0.5元/平米/月,苏州工业园区娄葑安洁物业管理有限公司,苏州市政
宜家公寓,工业园区东环,中新路115号,52964,板楼,235户,4栋,商品房,暂无信息 ,1.4元/平米/月,苏州工业园区兴园房地产有限公司,苏州工业园区兴园房地产有限公司
商旅新悦城,工业园区东环,东环路1118号,30386,板楼,180户,2栋,商品房,暂无信息 ,2.52元/平米/月,建屋物业,苏州工业园区商业旅游发展有限公司
苏安路2号小区,工业园区东环,园区苏安路2号（苏安新村公交站附近）,20745,板楼,50户,3栋,商品房,暂无信息 ,0.2元/平米/月,苏州工业园区娄葑安洁物业管理有限公司,苏州工业园区政府建筑
高林花园,工业园区东环,新村200,0,板楼,87户,8栋,商品房,暂无信息 ,4.5元/平米/月,苏州高林房地产开发有限公司,暂无信息
新苏安新村,工业园区东环,"苏安路2号, 娄门路语东环路交界处向西200米路北",25293,板楼,616户,20栋,商品房,暂无信息 ,0.5元/平米/月,苏州工业园区娄葑安洁物业管理有限公司,苏州工业园区政府建筑
仁文公寓,工业园区东环,东环路930号,19646,板楼,580户,4栋,商品房,暂无信息 ,0.6至2.1元/平米/月,苏州佳友物业管理有限公司,苏州置业房地产开发有限公司
娄门下塘43-1号,工业园区东环,东环路1500号（东环路和现代大道路口）,21128,板楼,132户,3栋,商品房,暂无信息 ,0.6元/平米/月,东港社区,物业和度娘都不知道开发商名称
夏家桥129号,工业园区东环,夏家桥129号,24686,板楼,287户,4栋,商品房/动迁安置房,暂无信息 ,0.5至1.3元/平米/月,苏州工业园区娄葑安洁物业管理有限公司,苏州市政
九龙仓时代上城,工业园区东沙湖,东沙湖路111号,46088,板楼/塔板结合,1416户,38栋,商品房/使用权,暂无信息 ,2.95至3元/平米/月,九龙仓物业管理有限公司苏州分公司,苏州高龙房产发展有限公司
汀兰家园,工业园区东沙湖,星龙街515号,21548,板楼,731户,13栋,商品房,暂无信息 ,1.3至1.95元/平米/月,苏州永金物业管理有限公司,中新苏州工业园区开发有限公司
万科玲珑东区,工业园区东沙湖,东沙湖路198号,52687,塔板结合,1340户,22栋,商品房/限价商品房/使用权/私产,暂无信息 ,2.91元/平米/月,苏南万科物业管理有限公司,江苏苏南万科房地产有限公司
璞墅,工业园区东沙湖,北榭雨街19号,65104,板楼/塔板结合,418户,54栋,商品房/使用权,暂无信息 ,2.8至2.98元/平米/月,苏南万科物业有限公司,苏州雅戈尔置业有限公司
太阳星辰花园二区,工业园区东沙湖,"东沙湖路和北榭雨街交汇处(沙湖公园西）, 北榭雨街68号",37123,塔板结合,1825户,16栋,商品房/使用权/私产,暂无信息 ,1.98元/平米/月,苏南万科物业管理有限公司,苏州雅戈尔置业有限公司
九龙仓风华里,工业园区东沙湖,"东沙湖路111号（现代大道与琉璃街交叉口）, 东沙湖路129号、东沙湖路139号",40188,板楼/塔板结合,2076户,21栋,商品房/已购公房/使用权/私产,暂无信息 ,2.1至2.7元/平米/月,大和宝业（江苏）物业管理有限公司,苏州高龙房产发展有限公司
雅戈尔天宸,工业园区东沙湖,津梁街172号,42547,塔楼/塔板结合/平房,229户,5栋,商品房,暂无信息 ,2.98元/平米/月,江苏苏南万科物业公司,苏州雅戈尔置业有限公司
璞缇墅,工业园区东沙湖,"北榭雨街65号, 东沙湖路和北榭雨街交汇处",66657,塔板结合,218户,31栋,商品房,暂无信息 ,2.82至3.81元/平米/月,苏州雅戈尔物业管理有限公司,苏州雅戈尔置业有限公司
榭雨苑,工业园区东沙湖,榭雨街399号,29730,板楼,1514户,19栋,商品房/使用权/私产,暂无信息 ,2.3元/平米/月,江苏苏南万科物业公司,江苏亿城地产有限公司
左岸香颂,工业园区东沙湖,榭雨街398号,28824,板楼/塔板结合,1039户,17栋,商品房/使用权/私产,暂无信息 ,2元/平米/月,苏州市优尼科物业管理有限公司,江苏亿城地产有限公司
年华里,工业园区东沙湖,"东沙湖路111号, 东沙湖路122号、东沙湖路132号、东沙湖路136号",37853,板楼/塔板结合,2383户,27栋,商品房/使用权/私产,暂无信息 ,2.1元/平米/月,苏州九龙仓物业管理有限公司,苏州高龙房产发展有限公司
太阳星辰花园泊朗峰,工业园区东沙湖,北榭雨街19号,34312,板楼/塔板结合,911户,10栋,商品房/动迁安置房/使用权,暂无信息 ,1.98元/平米/月,苏州雅戈尔物业管理有限公司,雅戈尔置业控股有限公司 
钟南花苑,工业园区东沙湖,钟南街388号,27172,板楼/塔板结合,1439户,19栋,商品房/限价商品房/使用权,暂无信息 ,1.8元/平米/月,北京亿城物业管理有限公司苏州分公司,江苏亿城地产有限公司
苏州铂悦府,工业园区东沙湖,琉璃街233号,68348,板楼/塔板结合,663户,25栋,商品房/已购公房/经济适用房/使用权,暂无信息 ,3.36至3.37元/平米/月,旭辉物业,苏州旭嘉置业有限公司
九龙仓繁华里,工业园区东沙湖,"东沙湖路111号, 东沙湖路106号",41965,板楼/塔板结合,1785户,31栋,商品房/使用权,暂无信息 ,2.9至2.98元/平米/月,苏州九龙仓物业管理有限公司,九龙仓集团有限公司
太阳星辰花园湖邑,工业园区东沙湖,榭雨街28号,31110,塔板结合,1771户,15栋,商品房/使用权/私产,暂无信息 ,1.98至2元/平米/月,苏州雅戈尔物业管理有限公司,苏州雅戈尔置业有限公司
太阳星辰花园天邑,工业园区东沙湖,北榭雨街65号,43650,板楼/塔板结合,1700户,21栋,商品房/使用权,暂无信息 ,1.98至2元/平米/月,苏州雅戈尔物业管理有限公司,雅戈尔置业控股有限公司 
月亮湾3号美颂花园一期,工业园区独墅湖高教区,创苑路与启月街交叉口,46727,板楼/塔板结合,500户,13栋,商品房/使用权,暂无信息 ,3.48至3.86元/平米/月,江苏苏南万科物业公司,苏州工业园区俐马房地产有限公司 
建屋紫宸庭,工业园区独墅湖高教区,启月街288号,35150,塔楼/塔板结合,702户,5栋,商品房/经济适用房/私产,暂无信息 ,4.81至18元/平米/月,第一太平戴维斯物业顾问（北京）有限公司苏州分公司 ,苏州工业园区建屋置业有限公司
中新星湖公馆,工业园区独墅湖高教区,月亮湾11号,33431,塔楼/塔板结合,780户,3栋,商品房/使用权,暂无信息 ,5.9至5.91元/平米/月,中新苏州和乔物业服务有限公司,中海地产
铂悦犀湖,工业园区独墅湖高教区,万寿街168号,79136,板楼/塔板结合,1149户,91栋,商品房/使用权,暂无信息 ,3.5至3.95元/平米/月,旭辉物业,苏州旭辉高科置业有限公司
月亮湾3号美颂花园三期,工业园区独墅湖高教区,八达街99号,56574,板楼,333户,8栋,商品房,暂无信息 ,3.86元/平米/月,苏南万科物业管理有限公司,苏州工业园区俐马房地产有限公司 
半月湾,工业园区独墅湖高教区,独墅湖月亮路6号（月亮湾独墅湖边）,56079,板楼,147户,4栋,商品房/使用权,暂无信息 ,7元/平米/月,苏州城邦物业管理有限公司,苏州丹华君都房地产开发有限公司
月亮湾3号美颂花园二期,工业园区独墅湖高教区,"八达街月亮湾3号美颂花园二期,八大街99号",45506,板楼/塔板结合,1051户,13栋,商品房/使用权/私产,暂无信息 ,3.48元/平米/月,江苏苏南万科物业公司,暂无信息
翰林缘,工业园区独墅湖高教区,林泉街608号,27056,板楼/塔板结合,2693户,31栋,商品房/私产,暂无信息 ,1.5至1.55元/平米/月,暂无信息,苏州市房地产开发有限公司苏州工业园区分公司
中铁建花语江南,工业园区独墅湖高教区,"万寿街88号,迎春街19号",52034,塔楼/板楼/塔板结合,1856户,83栋,商品房/使用权/私产,暂无信息 ,3.21至4.26元/平米/月,暂无信息,中铁房地产集团苏州置业有限公司
建屋海德公园,工业园区独墅湖高教区,翰林路1号,34381,塔楼/板楼/塔板结合,2986户,32栋,商品房/使用权/私产,暂无信息 ,2.21元/平米/月,建屋物业,苏州工业园区建屋发展有限公司
菁英公寓,工业园区独墅湖高教区,启月街1号,0,塔板结合,2970户,29栋,商品房,暂无信息 ,3元/平米/月,中新苏州和乔物业服务有限公司,苏州工业园区公租房管理有限公司
星湖国际广场,工业园区独墅湖高教区,"月亮湾路11号, 独墅湖科教创新区启月街（福朋喜来登大酒店对面）",0,板楼,161户,1栋,商品房,暂无信息 ,5.78元/平米/月,苏州和乔物业有限公司,暂无信息
中新大厦,工业园区独墅湖高教区,月亮湾路15号,0,板楼,400户,1栋,商品房/使用权,暂无信息 ,17.56元/平米/月,中新苏州和乔物业服务有限公司,暂无信息
万科见滨园,工业园区湖东CBD,琼姬路69号,95183,板楼/塔板结合/平房,182户,31栋,商品房,暂无信息 ,3.83至3.84元/平米/月,苏南万科物业管理有限公司,万科中粮（苏州）置业有限公司
万科中粮逸庭,工业园区湖东CBD,琼姬路69号,83252,板楼/塔板结合,453户,56栋,商品房,暂无信息 ,3.27至4元/平米/月,苏南万科物业管理有限公司,万科中粮（苏州）置业有限公司
澳韵花园,工业园区湖东CBD,琼姬路66号,43840,板楼/塔板结合,1525户,25栋,商品房/使用权/私产,暂无信息 ,2.9元/平米/月,苏南万科物业管理有限公司,中新置地
东湖大郡一期西区,工业园区湖东CBD,长乐街88号,52830,板楼/塔板结合,711户,32栋,商品房,暂无信息 ,1.56至1.6元/平米/月,苏州优尼科物业管理有限公司,苏州工业园区建屋发展有限公司
欧洲城,工业园区湖东CBD,南施街153号,42227,板楼/塔板结合,1428户,16栋,商品房/使用权,暂无信息 ,1.95元/平米/月,苏州市优尼科物业管理有限公司,苏州工业园区建屋置业有限公司
中海半岛华府,工业园区湖东CBD,"星湖街西侧靠近环洲路, 苏胜路与星湖街交接处",94338,板楼/塔板结合,249户,190栋,商品房,暂无信息 ,2.5至3.81元/平米/月,中海物业管理有限公司苏州分公司,中海地产(苏州)有限公司
金鸡湖花园,工业园区湖东CBD,琼姬墩路99号,95233,板楼/塔板结合,543户,45栋,商品房,暂无信息 ,3.21至3.5元/平米/月,建屋物业,苏州工业园区建屋发展有限公司
金鸡湖壹号,工业园区湖东CBD,"环洲路99号, 琼姬墩路99号",137488,塔板结合,92户,26栋,商品房,暂无信息 ,3.5元/平米/月,苏州工业园区建屋物业发展有限公司,苏州工业园区建屋置业有限公司
德邑,工业园区湖东CBD,琼姬路99号,68713,板楼/塔板结合,274户,51栋,商品房,暂无信息 ,2至3.2元/平米/月,苏州市万基物业管理有限公司,中新苏州工业园区开发有限公司
伊顿花园,工业园区湖东CBD,南施街1号,51590,板楼/塔板结合,728户,32栋,商品房/使用权,暂无信息 ,1.6至2.3元/平米/月,苏州工业园区建屋物业管理有限公司,苏州工业园区建屋置业有限公司
诚品居所,工业园区湖东CBD,园区月廊街8号（轨交时代广场站向西300米）,51939,塔楼/板楼/塔板结合,360户,2栋,商品房,暂无信息 ,7.9元/平米/月,永旺永乐苏房（苏州）物业服务有限公司,苏州工业园区旺和发展有限公司
合景领汇,工业园区湖东CBD,苏州大道东278号,40422,板楼,1374户,3栋,商品房/经济适用房/使用权/私产,暂无信息 ,1至6.35元/平米/月,广东宁骏物业管理公司,苏州市昱景房地产开发有限公司
圆融天玺,工业园区湖东CBD,旺墩路269号,101978,塔板结合,124户,1栋,商品房,暂无信息 ,8.9元/平米/月,暂无信息,苏州圆融发展集团有限公司
兆润云顶汇,工业园区湖东CBD,苏州大道东266号（南施街站东侧）,35629,塔楼,391户,1栋,商品房,暂无信息 ,6.8元/平米/月,第一太平戴维斯物业顾问（北京）有限公司苏州分公司 ,苏州工业园区万润投资发展有限公司
建屋康帝庄园,工业园区湖东CBD,环洲路18号（金姬墩公园往南100米）,179787,板楼/塔板结合,64户,65栋,商品房,暂无信息 ,5.8至5.82元/平米/月,苏州工业园区建屋物业发展有限公司,苏州工业园区建屋发展有限公司
晋合公寓,工业园区湖东CBD,"融安街18号, 星湖街和西洲路交界处",50362,板楼,729户,5栋,商品房/经济适用房/使用权,暂无信息 ,6.5至9.39元/平米/月,晋合物业管理（苏州）有限公司,晋合房地产（苏州）有限公司
圆融公馆,工业园区湖东CBD,旺墩路269号,54100,塔板结合,248户,1栋,商品房,暂无信息 ,8.9元/平米/月,苏州圆融物业管理有限公司,苏州圆融房地产开发有限公司
协鑫广场,工业园区湖东CBD,思安街99号鑫能商务广场,40234,塔楼/塔板结合,936户,3栋,商品房/使用权,暂无信息 ,8.32元/平米/月,江苏科华物业管理有限公司,江苏嘉润置业有限公司
九龙仓苏州国际金融中心,工业园区湖东CBD,园区翠园路与华池路交汇处（工业园区管委会西边）,53994,塔楼,2906户,3栋,商品房,暂无信息 ,14.31元/平米/月,苏州九龙仓物业管理有限公司,暂无信息
金匙望湖,工业园区湖东CBD,嘉瑞巷18号,32631,塔板结合,721户,1栋,商品房/自建房,暂无信息 ,4.54元/平米/月,苏州工业园区怡德物业有限公司,苏州望湖房地产开发有限公司
