名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司,开发商
华庭公寓,江岸百步亭,百步亭花园路华庭公寓,11032,板楼,335户,1栋,商品房,暂无信息 ,3.5元/平米/月,武汉广达缘物业管理公司, 合肥万科瑞翔地产有限公司
交警宿舍,江岸百步亭,十大家870附1号,8173,板楼,143户,1栋,商品房/房改房/私产,暂无信息 ,0.6元/平米/月,街道办事处（居委会）代管物业,武汉市市政建设集团有限公司
轴馨苑,江岸百步亭,汉黄路15号,8886,塔板结合,345户,3栋,商品房/经济适用房/私产/集资房,暂无信息 ,1.2至1.5元/平米/月,暂无信息, 陕西亿润经贸有限公司 
武汉汽发宿舍,江岸百步亭,汉黄路21号,8595,板楼,449户,9栋,商品房/房改房/经济适用房/集资房,暂无信息 ,1元/平米/月,暂无信息,中汽置业河北有限公司
岱山佳苑,江岸百步亭,汉黄路23号,10860,板楼,75户,3栋,商品房/私产,暂无信息 ,暂无信息,小区自主物业,岱山阳光置业有限公司
丹枫苑二期,江岸百步亭,解放大道2657-8到2657-12号,10416,板楼,231户,3栋,商品房/房改房/私产/集资房,暂无信息 ,0.8至1.2元/平米/月,武汉百步亭花园物业管理有限公司,武汉安居工程发展有限公司
中森华国际城,江岸百步亭,兴业路中森华国际城,15146,塔楼/板楼,844户,5栋,商品房/经济适用房,暂无信息 ,1.6至1.8元/平米/月,小区自主物业, 重庆汇东房地产开发有限公司
教育宿舍,江岸百步亭,汉黄路13号,10378,塔楼,70户,1栋,商品房,暂无信息 ,暂无信息,无物业管理服务,单位自建
丹枫苑,江岸百步亭,"解放大道, B栋2657-5至2657-7, 解放大道2657-1号",9879,板楼,65户,2栋,商品房/私产/集资房,暂无信息 ,0.6元/平米/月,武汉百步亭花园物业管理有限公司,暂无信息
新远大花园,江岸百步亭,百步亭小区艳阳天对面,11629,塔楼/板楼,305户,4栋,商品房/经济适用房/私产,暂无信息 ,0.8元/平米/月,街道办事处（居委会）代管物业,无开发商
二七国际,江岸百步亭,二七路与建设大道交汇处,16082,塔楼/板楼/塔板结合,846户,3栋,商品房,暂无信息 ,2.5至3.98元/平米/月,长城物业管理公司,武汉金力利腾房地产开发有限公司 
丹水国际,江岸百步亭,解放大道2028号,12208,板楼,371户,2栋,商品房/限价商品房,暂无信息 ,1.7元/平米/月,小区自主物业,武汉东原地产
百步亭现代城,江岸百步亭,百步亭花园路6号,0,塔楼/板楼,1038户,4栋,商品房,暂无信息 ,3至3.5元/平米/月,暂无信息,武汉安居工程发展有限公司
新荣苑,江岸百步亭,后湖大道362号,11572,板楼/塔板结合,801户,14栋,商品房/动迁安置房/使用权/拆迁还建房,暂无信息 ,1至2元/平米/月,暂无信息, 重庆桥达茂宸房地产开发有限公司
长投景城汉口年华,江岸百步亭,温馨路长投景城汉口年华,18457,塔楼/板楼/塔板结合,1633户,5栋,商品房,暂无信息 ,2.4至3.5元/平米/月,湖北长港联物业管理有限公司,湖北长业地产开发投资有限公司
圣诚阳光丽景,江岸百步亭,后湖百步亭花园路圣诚阳光丽景,0,塔楼,532户,5栋,商品房/私产,暂无信息 ,2.6元/平米/月,武汉豪安物业管理有限公司,武汉浩思房地产开发有限公司
百步亭现代城4区,江岸百步亭,百步亭花园路6号,21238,塔板结合,1357户,10栋,商品房/使用权/私产,暂无信息 ,2.6至3.5元/平米/月,武汉百步亭花园物业管理有限公司,武汉百步亭联合置业有限公司
中城青年汇,江岸百步亭,兴业路与解放大道交汇处,10504,塔楼,391户,1栋,商品房/限价商品房,暂无信息 ,2.35元/平米/月,武汉招商局物业管理有限公司,武汉中央商务区建设投资股份有限公司
城开二七城市广场,江岸百步亭,解放大道城开二七城市广场,13419,板楼/塔板结合,1190户,6栋,商品房,暂无信息 ,1.98至2.5元/平米/月,暂无信息,武汉城开房地产开发有限公司
万锦公馆,江岸百步亭,后湖南路1号,18709,板楼,232户,1栋,商品房,暂无信息 ,2元/平米/月, 武汉宏安物业管理有限公司,武汉市京楚置业有限公司
方舟小区,江岸百步亭,兴业路324附5号,13158,板楼/塔板结合,452户,7栋,商品房/私产,暂无信息 ,0.5至0.8元/平米/月,街道办事处（居委会）代管物业,武汉黎明房地产开发有限责任公司
现代城2区,江岸百步亭,百步亭花园路18号,19692,塔楼/板楼/塔板结合,1654户,21栋,商品房/使用权,暂无信息 ,1.7至10元/平米/月,武汉百步亭花园物业管理有限公司,武汉安居工程发展有限公司
华森佳园,江岸百步亭,解放大道2697附近,11522,塔楼,760户,5栋,商品房/经济适用房,暂无信息 ,1.2元/平米/月,武汉美好物业管理有限公司, 中国奥园地产集团股份有限公司
安居苑B区,江岸百步亭,安居路52号,11774,板楼,731户,13栋,商品房/经济适用房/私产,暂无信息 ,0.65元/平米/月,武汉百步亭花园物业管理有限公司,武汉安居工程发展有限公司
秀泽园南区,江岸百步亭,兴业路296号,12720,板楼,277户,6栋,商品房/私产,暂无信息 ,0.6元/平米/月,湖北泰跃物业管理有限责任公司,无开发商
怡康苑北区,江岸百步亭,安居西路88号,15344,板楼,981户,31栋,商品房/经济适用房/限价商品房/使用权/私产,暂无信息 ,0.7至1.4元/平米/月,暂无信息,武汉安居工程发展有限公司
银泰御华园三期,江岸百步亭,江岸新村174号,20109,塔板结合,1130户,5栋,商品房,暂无信息 ,2.6至2.9元/平米/月,武汉市嘉邦物业管理有限责任公司,武汉银泰嘉园置业有限公司
长江委长顺园,江岸百步亭,百步亭花园路20号,10664,板楼,512户,12栋,商品房/房改房/使用权/私产,暂无信息 ,0.9元/平米/月,武汉百步亭物业管理有限公司,无开发商
长湖地三村,江岸百步亭,连城中路长湖地三村,11371,板楼,260户,10栋,商品房/房改房/经济适用房/使用权/私产,暂无信息 ,1.5元/平米/月,小区自主物业,A8音乐电媒控股有限公司
福星惠誉榜YOUNG,江岸百步亭,后湖大道新生活摩尔城向东100米,16038,塔楼/塔板结合,2636户,8栋,商品房/动迁安置房/使用权/私产/拆迁还建房,暂无信息 ,2.5至3元/平米/月,福星智慧家物业服务有限公司,湖北福星惠誉后湖置业有限公司
华庭公寓,江岸百步亭,百步亭花园路华庭公寓,11032,板楼,335户,1栋,商品房,暂无信息 ,3.5元/平米/月,武汉广达缘物业管理公司, 合肥万科瑞翔地产有限公司
交警宿舍,江岸百步亭,十大家870附1号,8173,板楼,143户,1栋,商品房/房改房/私产,暂无信息 ,0.6元/平米/月,街道办事处（居委会）代管物业,武汉市市政建设集团有限公司
轴馨苑,江岸百步亭,汉黄路15号,8886,塔板结合,345户,3栋,商品房/经济适用房/私产/集资房,暂无信息 ,1.2至1.5元/平米/月,暂无信息, 陕西亿润经贸有限公司 
武汉汽发宿舍,江岸百步亭,汉黄路21号,8595,板楼,449户,9栋,商品房/房改房/经济适用房/集资房,暂无信息 ,1元/平米/月,暂无信息,中汽置业河北有限公司
岱山佳苑,江岸百步亭,汉黄路23号,10860,板楼,75户,3栋,商品房/私产,暂无信息 ,暂无信息,小区自主物业,岱山阳光置业有限公司
丹枫苑二期,江岸百步亭,解放大道2657-8到2657-12号,10416,板楼,231户,3栋,商品房/房改房/私产/集资房,暂无信息 ,0.8至1.2元/平米/月,武汉百步亭花园物业管理有限公司,武汉安居工程发展有限公司
中森华国际城,江岸百步亭,兴业路中森华国际城,15146,塔楼/板楼,844户,5栋,商品房/经济适用房,暂无信息 ,1.6至1.8元/平米/月,小区自主物业, 重庆汇东房地产开发有限公司
教育宿舍,江岸百步亭,汉黄路13号,10378,塔楼,70户,1栋,商品房,暂无信息 ,暂无信息,无物业管理服务,单位自建
丹枫苑,江岸百步亭,"解放大道, B栋2657-5至2657-7, 解放大道2657-1号",9879,板楼,65户,2栋,商品房/私产/集资房,暂无信息 ,0.6元/平米/月,武汉百步亭花园物业管理有限公司,暂无信息
新远大花园,江岸百步亭,百步亭小区艳阳天对面,11629,塔楼/板楼,305户,4栋,商品房/经济适用房/私产,暂无信息 ,0.8元/平米/月,街道办事处（居委会）代管物业,无开发商
二七国际,江岸百步亭,二七路与建设大道交汇处,16082,塔楼/板楼/塔板结合,846户,3栋,商品房,暂无信息 ,2.5至3.98元/平米/月,长城物业管理公司,武汉金力利腾房地产开发有限公司 
丹水国际,江岸百步亭,解放大道2028号,12208,板楼,371户,2栋,商品房/限价商品房,暂无信息 ,1.7元/平米/月,小区自主物业,武汉东原地产
二七星城,江岸百步亭,后湖大道和建设大道延长线交汇处,17445,塔板结合,436户,3栋,商品房,暂无信息 ,2.8元/平米/月,武汉天源物业管理有限责任公司,武汉二七城中村综合改造建设工程有限公司 
幸福时代三期,江岸百步亭,百步亭花园路160到162号,16557,塔楼/板楼,1427户,7栋,商品房/使用权,暂无信息 ,2.2至2.6元/平米/月,武汉百步亭花园物业管理有限公司,武汉统建百步亭联合置业有限公司
海赋江城,江岸百步亭,兴业路169附1号,21180,塔板结合,664户,4栋,商品房/使用权,暂无信息 ,2.4至2.6元/平米/月,业主自筹物业,中国水电建设集团房地产武汉有限公司
丹水池村,江岸百步亭,"解放大道,解放大道2028号",20923,板楼/塔板结合,817户,21栋,商品房/房改房/经济适用房/私产/集资房,暂无信息 ,暂无信息,暂无信息,A8音乐电媒控股有限公司
天悦尚景,江岸百步亭,新荣村客运站旁,0,塔楼,494户,1栋,商品房,暂无信息 ,2.7元/平米/月,武汉周原物业股份有限公司,武汉天之灏房地产开发有限责任公司
百步龙庭,江岸百步亭,百步亭花园路158号,16201,板楼/塔板结合,1453户,22栋,商品房/使用权/私产,暂无信息 ,1.6元/平米/月,武汉百步亭花园物业管理有限公司,武汉安居工程发展有限公司
幸福时代,江岸百步亭,"百步亭花园路160-162号,百步亭花园路18号",16060,板楼,2621户,9栋,商品房/使用权,暂无信息 ,2.2至5元/平米/月,武汉百步亭花园物业管理有限公司,武汉统建百步亭联合置业有限公司
安居苑D区,江岸百步亭,安居路18号,11226,板楼,524户,12栋,商品房/经济适用房/私产,暂无信息 ,0.65至7元/平米/月,武汉百步亭花园物业管理有限公司,武汉安居工程发展有限公司
解放大道2703号,江岸百步亭,江岸区解放大道2703号,11461,未知类型,7户,2栋,商品房/房改房/经济适用房,暂无信息 ,暂无信息,暂无信息,暂无信息
文卉苑,江岸百步亭,安居路198号,12426,塔楼/板楼,3518户,15栋,商品房/经济适用房/拆迁还建房,暂无信息 ,1.44至1.5元/平米/月,武汉百步亭花园物业管理有限公司,武汉安居工程发展有限公司
悦秀苑,江岸百步亭,安居路253号,12599,塔楼/板楼/平房,2277户,19栋,商品房/房改房/经济适用房/使用权/拆迁还建房,暂无信息 ,1.44元/平米/月,武汉百步亭花园物业管理有限公司,武汉安居工程发展有限公司
电信宿舍,江岸百步亭,兴业路电信宿舍,9478,板楼,63户,1栋,商品房/私产,暂无信息 ,0.6元/平米/月,安居物业, 西安保亿名卓置业有限公司
佳园小区(江岸),江岸百步亭,解放大道丹水池2020号,13999,塔楼/板楼,972户,19栋,商品房/经济适用房/私产,暂无信息 ,0.6元/平米/月,街道办事处（居委会）代管物业,无开发商
新生活摩尔城,江岸百步亭,后湖大道268号,12542,塔楼,584户,5栋,商品房/房改房,暂无信息 ,1.5元/平米/月,武汉华博物业管理有限公司,武汉市十大家实业有限公司
幸福时代大家,江岸百步亭,后湖大道幸福时代5期,16978,板楼,2375户,14栋,商品房,暂无信息 ,3.5元/平米/月,暂无信息,武汉统建百步亭联合置业有限公司
福星惠誉红桥城▪尚都,江岸百步亭,江岸区井南路特3号,11902,塔楼,1481户,7栋,商品房/拆迁还建房,暂无信息 ,2元/平米/月,暂无信息,暂无信息
丹水嘉苑,江岸百步亭,"百步亭50号,百步亭48号",14745,塔楼/板楼,838户,4栋,商品房/限价商品房/拆迁还建房,暂无信息 ,1.5至2.4元/平米/月,小区自主物业,上海嘉苑房地产发展有限责任公司
城开云悦邸,江岸百步亭,后湖大道与解放大道交汇处,20898,板楼/塔板结合,964户,7栋,商品房/保障性住房,暂无信息 ,3至3.3元/平米/月,暂无信息,武汉城开房地产开发有限公司
百步亭现代城五区,江岸百步亭,解放大道百步亭现代城五区,17773,板楼,743户,3栋,商品房/拆迁还建房,暂无信息 ,3.5至3.83元/平米/月,暂无信息,暂无信息
星河2049,江岸百步亭,温馨路星河2049,17339,板楼/塔板结合,2155户,11栋,商品房,暂无信息 ,3.5元/平米/月,暂无信息,暂无信息
武汉城建星河2049星里城,江岸百步亭,景秀街武汉城建星河2049星里城,0,未知类型,860户,6栋,商品房,暂无信息 ,暂无信息,暂无信息,暂无信息
汉悦府坤璟,江岸百步亭,怡康路汉悦府坤璟,23321,塔板结合,742户,5栋,商品房,暂无信息 ,2.8元/平米/月,绿城物业服务集团有限公司湖北分公司,武汉兴悦晟房地产开发有限公司
银湖湾,江岸百步亭,兴业路193,11497,塔楼,56户,2栋,商品房,暂无信息 ,2元/平米/月,暂无信息,暂无信息
海赋江城天韵C区,江岸百步亭,兴业路173号,21803,板楼/塔板结合,1882户,13栋,商品房/限价商品房,暂无信息 ,2.6至3.8元/平米/月,暂无信息,中国水电建设集团房地产武汉有限公司
花样年花好园,江岸百步亭,后湖大道花样年花好园,21865,塔板结合,1078户,3栋,商品房,暂无信息 ,4元/平米/月,暂无信息,武汉中森华永红房地产开发有限公司
江印,江岸百步亭,解放大道江印,21219,塔板结合,1302户,8栋,商品房,暂无信息 ,3.5元/平米/月,暂无信息,暂无信息
龙湖清能天曜,江岸百步亭,后湖大道龙湖清能天曜,0,未知类型,2191户,14栋,商品房,暂无信息 ,3.6元/平米/月,龙湖物业服务集团有限公司武汉分公司,暂无信息
百合苑,江岸百步亭,兴业路177附18号,12182,板楼,1453户,36栋,商品房/经济适用房/私产,暂无信息 ,0.7至1元/平米/月,武汉百步亭花园物业管理有限公司,武汉安居工程发展有限公司
怡康苑南区,江岸百步亭,安居西路85号,12864,板楼,560户,15栋,商品房/经济适用房/私产,暂无信息 ,0.7至1.2元/平米/月,业主自筹物业,武汉安居工程发展有限公司
百步雅庭,江岸百步亭,安居路148到160号,15614,板楼,1234户,25栋,商品房/使用权,暂无信息 ,0.6至1.8元/平米/月,武汉百步亭花园物业管理有限公司,武汉安居工程发展有限公司
江印,江岸百步亭,解放大道江印,21219,塔板结合,1302户,8栋,商品房,暂无信息 ,3.5元/平米/月,暂无信息,暂无信息
景兰苑,江岸百步亭,百步亭花园18号,12411,塔楼/板楼,3276户,30栋,商品房/经济适用房/动迁安置房/拆迁还建房,暂无信息 ,1.4至1.44元/平米/月,武汉百步亭花园物业管理有限公司,武汉安居工程发展有限公司
百步华庭,江岸百步亭,百步亭花园路18号,14874,板楼,1394户,29栋,商品房/房改房/使用权,暂无信息 ,1.2至1.6元/平米/月,武汉百步亭花园物业管理有限公司,武汉安居工程发展有限公司
安居苑A区,江岸百步亭,安居小路26号,12413,板楼,885户,18栋,商品房/经济适用房/使用权/私产,暂无信息 ,0.6至3元/平米/月,武汉百步亭花园物业管理有限公司,武汉安居工程发展有限公司
哈楼,江岸百步亭,兴业路中段地铁3号线旁(育才怡康小学对面,19925,塔板结合,406户,2栋,商品房,暂无信息 ,2.6元/平米/月,深圳彩生活集团,武汉亿利特投资发展有限公司
名流世家,江岸百步亭,兴业路与百步亭路交汇处,16532,板楼/塔板结合,813户,6栋,商品房,暂无信息 ,2.5至2.7元/平米/月, 武汉名流幸福物业服务有限公司,武汉名流公馆置业有限公司
现代城一区,江岸百步亭,百步亭花园路8号,18550,板楼,1106户,15栋,商品房/限价商品房/使用权,暂无信息 ,1.9元/平米/月,武汉百步亭花园物业管理有限公司,武汉安居工程发展有限公司
百步亭花园世博园,江岸百步亭,百步亭花园路6号,20238,板楼,1667户,28栋,商品房/使用权/私产,暂无信息 ,1.6元/平米/月,暂无信息,武汉安居工程发展有限公司
怡和苑南区,江岸百步亭,百步亭花园路18号,14146,板楼/塔板结合,1295户,39栋,商品房/使用权/私产,暂无信息 ,0.8至3.5元/平米/月,武汉百步亭花园物业管理有限公司,武汉安居工程发展有限公司
现代城三区,江岸百步亭,百步亭花园百花一路88号,19246,塔楼/板楼/塔板结合,1024户,11栋,商品房,暂无信息 ,1.8元/平米/月,武汉百步亭花园物业管理有限公司,武汉安居工程发展有限公司
温馨苑CD区,江岸百步亭,岔马战路18号,12247,塔板结合,1534户,26栋,商品房/经济适用房/私产,暂无信息 ,0.8元/平米/月,武汉百步亭花园物业管理有限公司,武汉安居工程发展有限公司
银泰御华园,江岸百步亭,新江岸五村328号银泰御华园,22092,板楼/塔板结合,3010户,29栋,商品房/房改房/私产,暂无信息 ,2元/平米/月,武汉市嘉邦物业管理有限责任公司,武汉银泰房地产开发有限公司
怡和苑北区,江岸百步亭,百步亭花园18号,15238,板楼,1153户,23栋,商品房/私产,暂无信息 ,0.8至1.6元/平米/月,武汉百步亭花园物业管理有限公司,武汉安居工程发展有限公司
温馨苑AB区,江岸百步亭,百步亭花园路73号,12297,塔楼/板楼/平房,1993户,33栋,商品房/经济适用房/私产,暂无信息 ,0.55至8元/平米/月,武汉百步亭花园物业管理有限公司,武汉安居工程发展有限公司
东勤佳苑,江岸百步亭,十大家973号,11387,塔楼/板楼,1097户,11栋,商品房/经济适用房/动迁安置房/拆迁还建房,暂无信息 ,1.2元/平米/月,业主自筹物业,无开发商
中海万锦江城,江岸百步亭,百步亭花园路123号,21582,板楼/塔板结合,2681户,12栋,商品房/限价商品房/使用权/私产,暂无信息 ,2.6至3.5元/平米/月,中海物业管理有限公司武汉分公司,武汉荣业房地产有限公司
安居苑C区,江岸百步亭,安居路22号,10444,板楼,646户,12栋,商品房/房改房/经济适用房/限价商品房/私产,暂无信息 ,0.65元/平米/月,武汉百步亭花园物业管理有限公司,武汉安居工程发展有限公司
丹亭懿府,江岸百步亭,江岸区百步亭路与百花一路交叉口北侧,14622,板楼,2493户,10栋,商品房/限价商品房/拆迁还建房,暂无信息 ,2.6元/平米/月,武汉市武房物业发展公司,暂无信息
武地融创御央首府,江岸百步亭,兴业路武地融创御央首府,20799,塔楼/板楼/塔板结合,2233户,13栋,商品房,暂无信息 ,3.52至3.84元/平米/月,暂无信息,武汉地控馨盛置业有限公司
海赋江城天韵A区,江岸百步亭,怡和西路海赋江城天韵A区,21206,板楼/塔板结合,2055户,10栋,商品房/私产,暂无信息 ,2.6元/平米/月,暂无信息,暂无信息
十大家世纪城,江岸百步亭,后湖大道十大家世纪城,0,板楼/塔板结合,1504户,6栋,商品房/拆迁还建房,暂无信息 ,1.4至2.6元/平米/月,武汉广达缘物业管理公司,武汉地产集团统建公司
汉黄小区,江岸百步亭,汉黄路25号,12886,板楼,121户,3栋,商品房,暂无信息 ,暂无信息,暂无信息,暂无信息
二七小路24到32号,江岸百步亭,二七小路24到32号,0,板楼,70户,1栋,商品房,暂无信息 ,暂无信息,无物业管理服务,无开发商
消防宿舍,江岸百步亭,新湖街51号,0,板楼,128户,2栋,商品房/私产,暂无信息 ,0.5元/平米/月,暂无信息,暂无信息
汉口派,江岸百步亭,解放大道与后湖大道交汇处,0,塔楼,880户,2栋,商品房,暂无信息 ,暂无信息,暂无信息,武汉山水星城置业有限责任公司
连城家园,江岸百步亭,连城环路1号,0,板楼,1841户,13栋,商品房/拆迁还建房,暂无信息 ,0.5元/平米/月,暂无信息,武汉五环集团
武汉机电工程学校宿舍,江岸百步亭,建设新村300号,11039,板楼,15户,1栋,商品房,暂无信息 ,1.9元/平米/月,仲量联行测量师事务所（上海）有限公司武汉分公司, 陕西亿润经贸有限公司 
化原宿舍,江岸百步亭,汉黄路9号,11683,板楼/塔板结合,83户,2栋,商品房/房改房,暂无信息 ,暂无信息,暂无信息,中国化工集团
惠民居,江岸百步亭,后湖南路附近,0,塔楼,2158户,5栋,商品房,暂无信息 ,暂无信息,无物业管理服务,武汉市政和实业有限公司
宏兴苑,江岸百步亭,兴业路181号,0,板楼,294户,7栋,商品房,暂无信息 ,暂无信息,无物业管理服务,武汉市市政建设集团有限公司
诚昌里,江岸大智路,合作路诚昌里,14685,平房,115户,2栋,商品房/房改房,暂无信息 ,暂无信息,暂无信息,无
黄兴路5号,江岸大智路,黄兴路5号,13660,板楼,88户,1栋,商品房/房改房/私产,暂无信息 ,暂无信息,暂无信息,暂无信息
车站街辅堂社区,江岸大智路,京汉街147号,16071,塔楼/塔板结合,1490户,12栋,商品房/房改房/私产,暂无信息 ,暂无信息,无物业管理服务,无开发商
大智路,江岸大智路,大智路,13413,板楼,385户,12栋,商品房/房改房,暂无信息 ,2元/平米/月,无物业管理服务,武汉市市政建设集团有限公司
大智公寓,江岸大智路,汉口大智路123号,13300,塔楼,483户,2栋,商品房,暂无信息 ,1.8元/平米/月,湖北省新佳园物业管理有限公司,武汉雅鸿房地产开发有限公司
吉庆家园,江岸大智路,大智路5号,12519,塔楼,329户,3栋,商品房/经济适用房/私产,暂无信息 ,0.8元/平米/月,武汉岸房台北物业管理有限公司,无开发商
东方大厦,江岸大智路,友益街29号,13848,塔楼,637户,3栋,商品房/房改房/私产/拆迁还建房,暂无信息 ,1元/平米/月,大汉物业管理公司,武汉市市政建设集团有限公司
吉庆街,江岸大智路,吉庆街,12861,塔楼/板楼/塔板结合,821户,13栋,商品房/房改房/拆迁还建房,暂无信息 ,0.5元/平米/月,暂无信息,武汉市市政建设集团有限公司
格格屋,江岸大智路,大智街铭新街208号,16727,塔楼,348户,1栋,商品房,暂无信息 ,1.4元/平米/月,武汉市怡诚物业管理有限公司,武汉华池置业发展有限公司
安静社区,江岸大智路,黄石路35号附2号,12992,板楼/塔板结合,1785户,20栋,商品房/房改房/私产,暂无信息 ,0.5元/平米/月,街道办事处（居委会）代管物业,无开发商
金川阁小区,江岸大智路,解放南路12号,11691,板楼,175户,5栋,商品房/私产,暂无信息 ,0.5至0.6元/平米/月,业主自筹物业,无开发商
同庆阁小区,江岸大智路,香港路同庆阁小区,12105,板楼,393户,5栋,商品房/房改房/私产,暂无信息 ,1元/平米/月,街道办事处（居委会）代管物业,山西同庆置业有限公司
解放南路,江岸大智路,解放南路,11741,板楼,309户,8栋,商品房/房改房/私产,暂无信息 ,暂无信息,暂无信息,暂无信息
鑫汉城市花园,江岸大智路,解放南路12号附8-18号,15005,板楼,176户,4栋,商品房/私产,暂无信息 ,0.4至0.8元/平米/月,业主自筹物业,武汉市汉南城市综合开发总公司
大智商城,江岸大智路,大智路49号,12665,塔板结合,142户,1栋,商品房,暂无信息 ,1元/平米/月,业主自筹物业,湖北融兴房地产开发有限公司
裕华公寓,江岸大智路,友益街102号,13702,塔楼,601户,1栋,商品房/房改房,暂无信息 ,1.5元/平米/月,街道办事处（居委会）代管物业,武汉长青房屋开发公司
纺织小区,江岸大智路,"兰陵路7号, 兰陵路纺织小区",18342,板楼,153户,4栋,商品房/房改房/私产,暂无信息 ,暂无信息,暂无信息,暂无信息
君安公寓,江岸大智路,"洞庭街43号,合作路18号",18136,塔板结合,270户,1栋,商品房/房改房/拆迁还建房,暂无信息 ,1.5元/平米/月,武汉兆嘉乐业物管公司, 陕西亿润经贸有限公司 
铭新大厦,江岸大智路,铭新街92号,12771,板楼,87户,1栋,商品房,暂无信息 ,1元/平米/月,暂无信息, 陕西亿润经贸有限公司 
吉祥大厦,江岸大智路,吉庆街165号,12688,板楼,90户,1栋,商品房,暂无信息 ,0.8元/平米/月,吉祥物业管理公司,吉祥置地有限公司
君安大厦,江岸大智路,合作路13号,11080,塔楼,154户,1栋,商品房/私产,暂无信息 ,4元/平米/月,业主自筹物业,无开发商
景福小区,江岸大智路,铭新街200号,12428,板楼/塔板结合/平房,441户,8栋,商品房/房改房/拆迁还建房,暂无信息 ,1至2.4元/平米/月,武汉市武房物业发展公司,河北景福房地产开发有限公司
武咨大厦,江岸大智路,兰陵路1号,21517,板楼,67户,1栋,商品房,暂无信息 ,暂无信息,暂无信息,暂无信息
