名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司,开发商
真光七街坊,普陀真光,铜川路1781弄,55084,板楼,1536户,101栋,商品房/已购公房/售后公房/使用权,1993-1994年 ,0.8至1元/平米/月,时代地产,时代地产
真光新秀,普陀真光,"子洲路238弄,子洲路330弄",57422,板楼,434户,34栋,商品房/使用权,1995-2001年 ,0.8元/平米/月,上海真如物业有限公司,上海东上海联合置业有限公司
富颐星成公馆,普陀真光,金鼎路2288号,0,板楼,133户,1栋,商品房,2014年 ,6元/平米/月,上海浦东大能物业管理有限公司,上海和顺房地产开发有限公司
佳祥公寓,普陀真光,铜川路1615弄,57437,塔楼/板楼,324户,8栋,商品房,1997-2004年 ,1.5元/平米/月,上海高成物业管理有限公司,上海高成房地产开发有限公司
清涧三街坊,普陀真光,清涧路187弄,42831,塔楼/板楼/塔板结合,1500户,28栋,商品房/售后公房/使用权,1997-2000年 ,0.8元/平米/月,上海乾溪物业管理有限公司,上海桃浦房地产开发有限公司
时代星园,普陀真光,金汤路155弄,80111,板楼,358户,13栋,商品房,2003年 ,1.45至5.4元/平米/月,上海新驰物业有限公司,上海晟洲房地产开发有限公司
真光六小区,普陀真光,铜川路1899弄,57232,板楼,624户,49栋,商品房/已购公房/动迁安置房/使用权,1994年 ,0.8元/平米/月,上海阳光物业管理有限公司,阳光开发商
真光十小区,普陀真光,子洲路58弄,47692,板楼,530户,23栋,商品房/售后公房/动迁安置房/使用权,1995-1996年 ,1元/平米/月,真光物业,上海中鼎房地产开发有限公司
阳光建华城（四期）（别墅）,普陀真光,"金鼎路1600弄,祁连山南路2727弄",86537,板楼,96户,96栋,商品房,2008-2009年 ,1.64元/平米/月,上海阳光物业管理有限公司,上海意景房产开发有限公司
海普苑,普陀真光,铜川路1897弄,75557,板楼,622户,27栋,商品房,2002年 ,1.44元/平米/月,上海真如物业有限公司,上海市市政房地产经营公司
上海家园,普陀真光,金鼎路298弄,58083,板楼/塔板结合,745户,51栋,商品房/使用权,2004年 ,1.7元/平米/月,上海万亚物业管理有限公司,上海鑫鼎房地产开发有限公司
真情公寓,普陀真光,"铜川路1898弄,真光路1915弄50支弄",66043,塔楼/板楼/塔板结合,1290户,30栋,商品房/经济适用房/使用权,1997-2006年 ,0.8元/平米/月,上海建维置业发展有限公司,上海真情置业有限公司
长征家苑,普陀真光,真北路1817弄,65230,板楼/塔板结合,2030户,20栋,商品房/动迁安置房/使用权,2015年 ,1.35元/平米/月,真光物业,上海南上海动拆迁置业有限公司
真光第四小区,普陀真光,铜川路2060弄,53246,板楼,1788户,142栋,商品房/售后公房/动迁安置房/使用权,1995-1998年 ,0.8元/平米/月,金晨物业,上海真如物业有限公司
真光新村第二小区,普陀真光,铜川路1780弄,48355,板楼,1944户,108栋,商品房/售后公房/使用权,1994-1998年 ,0.8元/平米/月,上海真如物业有限公司,普陀建筑
清涧四街坊,普陀真光,清涧路39弄,43310,板楼,1032户,84栋,商品房/使用权,2000-2001年 ,0.8元/平米/月,上海亚大物业发展有限公司,上海桃浦房地产开发有限公司
清涧七街坊,普陀真光,桃浦路873弄,47181,板楼,1200户,77栋,商品房/已购公房/售后公房/动迁安置房/使用权,1995年 ,0.8元/平米/月,上海亚大物业发展有限公司,上海市普陀区城市建设投资有限公司
香樟苑(普陀),普陀真光,桃浦路1341弄,44570,板楼,1491户,125栋,商品房/售后公房/使用权,1997-2004年 ,0.8至1.2元/平米/月,上海燎原物业有限公司,上海农工商房地产(集团)有限公司
真光八街坊,普陀真光,金汤路353弄,50446,板楼/塔板结合,1722户,124栋,商品房/售后公房/动迁安置房/使用权,1991-2018年 ,0.8元/平米/月,上海豪斯物业管理有限公司,普陀建筑
中鼎豪园,普陀真光,清涧路68弄,61750,板楼,1228户,49栋,商品房,2005-2006年 ,2元/平米/月,上海上房物业有限公司,上海中鼎房地产开发有限公司
真光新村,普陀真光,真北路2087弄52支弄,60540,板楼,378户,27栋,商品房/售后公房/使用权,1994-1995年 ,0.8元/平米/月,上海长中物业经营部,绿城集团
真光九街坊,普陀真光,金汤路59弄,50561,板楼/塔板结合,1824户,87栋,商品房/售后公房/动迁安置房/使用权,1994-1996年 ,0.8元/平米/月,中宁物业,上海中鼎房地产开发有限公司
阳光威尼斯(二期),普陀真光,定边路377弄,49998,板楼,1198户,17栋,商品房/动迁安置房,2005-2006年 ,1.53元/平米/月,上海阳光投资(集团)物业管理有限公司,上海意景房产开发有限公司
阳光威尼斯C区,普陀真光,靖边路299弄,50338,板楼,1081户,20栋,商品房,2004年 ,1.45至1.53元/平米/月,上海沙林物业管理有限公司,上海盛唐置业有限公司
阳光威尼斯AB区,普陀真光,祁连山南路2727弄（双号）,50824,板楼,1932户,40栋,商品房/动迁安置房,2004年 ,1.45至1.53元/平米/月,暂无信息,上海盛唐置业有限公司
清涧六街坊,普陀真光,桃浦路1023弄,45260,板楼,1282户,83栋,商品房/售后公房/使用权,1994-2007年 ,0.8元/平米/月,上海亚大物业发展有限公司,上海市普陀区城市建设投资有限公司
清涧八街坊,普陀真光,桃浦路743弄,46467,板楼,1248户,50栋,商品房/售后公房/动迁安置房/使用权,1995-1997年 ,0.8元/平米/月,上海亚大物业发展有限公司,上海桃浦房地产开发有限公司
清涧二街坊,普陀真光,桃浦路1028弄,45333,板楼,1092户,58栋,商品房/售后公房/使用权/公租房,1994年 ,0.8元/平米/月,上海亚大物业发展有限公司,上海市普陀区城市建设投资有限公司
真光新秀,普陀真光,"子洲路238弄,子洲路330弄",57422,板楼,434户,34栋,商品房/使用权,1995-2001年 ,0.8元/平米/月,上海真如物业有限公司,上海东上海联合置业有限公司
真光七街坊,普陀真光,铜川路1781弄,55084,板楼,1536户,101栋,商品房/已购公房/售后公房/使用权,1993-1994年 ,0.8至1元/平米/月,时代地产,时代地产
阳光威尼斯(三期),普陀真光,靖边路199弄,49556,板楼/塔板结合,2774户,25栋,商品房/动迁安置房,2006-2008年 ,1.53元/平米/月,上海沙林物业管理有限公司,上海意景房产开发有限公司
真光新村第五小区,普陀真光,铜川路2059弄,51119,塔楼/板楼,1249户,80栋,商品房/售后公房/使用权,1994-1996年 ,0.8至0.81元/平米/月,上海亚大物业发展有限公司,上海中鼎房地产开发有限公司
万业新阶,普陀中远两湾城,"中山北路1482号,中山北路1412号",0,板楼/塔板结合,1013户,2栋,商品房,2014年 ,6.8元/平米/月,上海新东慧物业管理有限公司,上海万企爱佳房地产开发有限公司
友谊大楼,普陀中远两湾城,"中山北路1502号,中山北路1530号,中山北路1560号",62097,塔楼/塔板结合,550户,3栋,商品房/动迁安置房/使用权,1982-1988年 ,0.5元/平米/月,上海阳光新景(集团)物业管理有限公司,西部集团
中山北路1760弄,普陀中远两湾城,中山北路1760弄,66434,板楼,180户,5栋,商品房/使用权,1972-1975年 ,0.6至0.8元/平米/月,上海中山物业有限公司,上海宜民房地产开发经营有限公司
中远两湾城,普陀中远两湾城,中潭路100弄,85690,板楼/塔板结合,11916户,103栋,商品房/使用权/私产/军产,2000-2006年 ,1.75至3.8元/平米/月,暂无信息,上海万业企业股份有限公司
远景路97弄11号,普陀中远两湾城,远景路97弄11号,0,板楼,3户,1栋,商品房,2004年 ,1.95元/平米/月,中远酒店物业管理有限公司上海分公司,上海万业企业股份有限公司
中潭路100弄62号,普陀中远两湾城,中潭路100弄62号,0,板楼,1户,1栋,商品房,2002年 ,1.75元/平米/月,暂无信息, 重庆汇东房地产开发有限公司
中潭路100弄248号,普陀中远两湾城,中潭路100弄248号,0,板楼,3户,1栋,商品房,2002年 ,1.75元/平米/月,暂无信息, 上海中远两湾置业发展有限公司
中潭路100弄190号,普陀中远两湾城,中潭路100弄190号,0,板楼,2户,1栋,商品房,2002年 ,1.75元/平米/月,上海万业企业爱佳物业服务有限公司,中远集团
中潭路100弄130号,普陀中远两湾城,中潭路100弄130号,0,板楼,1户,1栋,商品房,2001年 ,1.57元/平米/月,上海万业企业爱佳物业服务有限公司,上海万业企业股份有限公司
中潭路99弄113号,普陀中远两湾城,中潭路99弄113号,0,板楼,2户,1栋,商品房,2002年 ,1.95元/平米/月,上海中远物业管理发展有限公司..,上海万业企业股份有限公司
万业一番空间,普陀中远两湾城,"远景路662号, 远景路616号",0,板楼,87户,3栋,商品房/使用权,2014年 ,5.7至19元/平米/月,上海新东慧物业管理有限公司,上海万企爱佳房地产开发有限公司
远景路97弄57号,普陀中远两湾城,远景路97弄57号,0,板楼,3户,1栋,商品房,2006年 ,1.75元/平米/月,上海中远物业管理发展有限公司..,上海万业企业股份有限公司
中潭路99弄99号,普陀中远两湾城,中潭路99弄99号,0,塔楼,7户,1栋,商品房,2002年 ,1.75元/平米/月,上海中远物业管理发展有限公司, 陕西亿润经贸有限公司 
中潭路99弄229号,普陀中远两湾城,中潭路99弄229号,0,板楼,1户,1栋,商品房,2002年 ,1.95元/平米/月,上海中远物业管理发展有限公司..,上海万业企业股份有限公司
中潭路100弄308号,普陀中远两湾城,中潭路100弄308号,0,板楼,1户,1栋,商品房,2002年 ,1.75元/平米/月,上海万业企业爱佳物业服务有限公司,上海中远置业销售策划有限公司普陀分公司
中潭路100弄12号,普陀中远两湾城,中潭路100弄12号,0,板楼,1户,1栋,商品房,2001年 ,1.57元/平米/月,上海中远众城物业服务有限公司,上海万业企业股份有限公司
远景路97弄12号,普陀中远两湾城,远景路97弄12号,0,板楼,2户,1栋,商品房,2006年 ,1.95元/平米/月,上海中远物业管理发展有限公司,上海万业企业股份有限公司
万业新阶,普陀中远两湾城,"中山北路1482号,中山北路1412号",0,板楼/塔板结合,1013户,2栋,商品房,2014年 ,6.8元/平米/月,上海新东慧物业管理有限公司,上海万企爱佳房地产开发有限公司
中山北路1760弄,普陀中远两湾城,中山北路1760弄,66434,板楼,180户,5栋,商品房/使用权,1972-1975年 ,0.6至0.8元/平米/月,上海中山物业有限公司,上海宜民房地产开发经营有限公司
友谊大楼,普陀中远两湾城,"中山北路1502号,中山北路1530号,中山北路1560号",62097,塔楼/塔板结合,550户,3栋,商品房/动迁安置房/使用权,1982-1988年 ,0.5元/平米/月,上海阳光新景(集团)物业管理有限公司,西部集团
中远两湾城,普陀中远两湾城,中潭路100弄,85690,板楼/塔板结合,11916户,103栋,商品房/使用权/私产/军产,2000-2006年 ,1.75至3.8元/平米/月,暂无信息,上海万业企业股份有限公司
远景路97弄12号,普陀中远两湾城,远景路97弄12号,0,板楼,2户,1栋,商品房,2006年 ,1.95元/平米/月,上海中远物业管理发展有限公司,上海万业企业股份有限公司
远景路97弄57号,普陀中远两湾城,远景路97弄57号,0,板楼,3户,1栋,商品房,2006年 ,1.75元/平米/月,上海中远物业管理发展有限公司..,上海万业企业股份有限公司
中潭路99弄99号,普陀中远两湾城,中潭路99弄99号,0,塔楼,7户,1栋,商品房,2002年 ,1.75元/平米/月,上海中远物业管理发展有限公司, 陕西亿润经贸有限公司 
中潭路99弄229号,普陀中远两湾城,中潭路99弄229号,0,板楼,1户,1栋,商品房,2002年 ,1.95元/平米/月,上海中远物业管理发展有限公司..,上海万业企业股份有限公司
中潭路100弄308号,普陀中远两湾城,中潭路100弄308号,0,板楼,1户,1栋,商品房,2002年 ,1.75元/平米/月,上海万业企业爱佳物业服务有限公司,上海中远置业销售策划有限公司普陀分公司
万业一番空间,普陀中远两湾城,"远景路662号, 远景路616号",0,板楼,87户,3栋,商品房/使用权,2014年 ,5.7至19元/平米/月,上海新东慧物业管理有限公司,上海万企爱佳房地产开发有限公司
中潭路100弄248号,普陀中远两湾城,中潭路100弄248号,0,板楼,3户,1栋,商品房,2002年 ,1.75元/平米/月,暂无信息, 上海中远两湾置业发展有限公司
中潭路99弄113号,普陀中远两湾城,中潭路99弄113号,0,板楼,2户,1栋,商品房,2002年 ,1.95元/平米/月,上海中远物业管理发展有限公司..,上海万业企业股份有限公司
中潭路100弄190号,普陀中远两湾城,中潭路100弄190号,0,板楼,2户,1栋,商品房,2002年 ,1.75元/平米/月,上海万业企业爱佳物业服务有限公司,中远集团
远景路97弄11号,普陀中远两湾城,远景路97弄11号,0,板楼,3户,1栋,商品房,2004年 ,1.95元/平米/月,中远酒店物业管理有限公司上海分公司,上海万业企业股份有限公司
中潭路100弄62号,普陀中远两湾城,中潭路100弄62号,0,板楼,1户,1栋,商品房,2002年 ,1.75元/平米/月,暂无信息, 重庆汇东房地产开发有限公司
中潭路100弄130号,普陀中远两湾城,中潭路100弄130号,0,板楼,1户,1栋,商品房,2001年 ,1.57元/平米/月,上海万业企业爱佳物业服务有限公司,上海万业企业股份有限公司
中潭路100弄12号,普陀中远两湾城,中潭路100弄12号,0,板楼,1户,1栋,商品房,2001年 ,1.57元/平米/月,上海中远众城物业服务有限公司,上海万业企业股份有限公司
锦西路59号,杨浦鞍山,锦西路59号,51391,板楼,20户,1栋,商品房/使用权,1980年 ,暂无信息,暂无信息,暂无信息
保利天汇,杨浦鞍山,辽源西路169弄,144356,板楼,714户,22栋,商品房,2023年 ,8.5元/平米/月,暂无信息,暂无信息
鞍山四村第一小区,杨浦鞍山,"抚顺路373弄, 抚顺路393弄, 鞍山四村1-30号",67824,板楼,2615户,89栋,商品房/已购公房/售后公房/使用权,1953-2008年 ,0.85至1元/平米/月,上海市卫百辛集团延吉物业管理有限公司,上海卫百辛房地产经纪有限公司
辽源四村,杨浦鞍山,辽源四村,71716,板楼,1347户,68栋,商品房/已购公房/使用权,1979-1997年 ,0.8至1.2元/平米/月,上海平凉物业管理有限公司,上海福阳置业有限公司
本溪路149弄,杨浦鞍山,本溪路149弄3-17号,58109,板楼,302户,8栋,商品房/已购公房/售后公房/使用权,1969-2009年 ,0.9元/平米/月,暂无信息,暂无信息
控江小区,杨浦鞍山,锦西路100弄,64847,板楼,478户,12栋,商品房/售后公房/使用权,1980-1998年 ,0.6元/平米/月,上海晟隆物业管理有限公司,上海市晟隆有限公司
冶金公寓,杨浦鞍山,"赤峰路95号,赤峰路97号",78750,塔楼,361户,2栋,商品房/售后公房/使用权,1988-1989年 ,0.4元/平米/月,上海大柏树物业有限公司,无开发商
辽源西路3号,杨浦鞍山,辽源西路3号,70533,板楼,36户,1栋,商品房/售后公房,1980年 ,0.8元/平米/月,上海平凉物业管理有限公司,物业和度娘都不知道开发商名称
和平花苑一期,杨浦鞍山,打虎山路与控江路交叉口西100米,81413,塔楼/板楼,721户,3栋,商品房/使用权,1997-2005年 ,2.09至2.38元/平米/月,上海海鸿浮船物业管理有限公司 ,暂无信息
鞍山三村,杨浦鞍山,鞍山三村,62767,板楼,1556户,58栋,商品房/已购公房/售后公房/使用权,1958-2002年 ,0.3元/平米/月,上海四平物业管理有限公司,鞍山机建司
辽源三村,杨浦鞍山,"许昌路1487弄1-4号,辽源三村",62625,板楼,1067户,32栋,商品房/售后公房/使用权,1985-1988年 ,0.6元/平米/月,精诚物业,精诚房产
贵人大厦,杨浦鞍山,控江路2075号,76869,塔楼,144户,1栋,商品房,2000年 ,1.5元/平米/月,自主物业,上海贵人实业有限公司
辽源一村,杨浦鞍山,"辽源西路180-4号, 辽源西路190弄1-6号, 辽源一村铁路公房1-11号",70597,板楼,734户,29栋,商品房/售后公房/使用权,1983-1997年 ,0.6至1元/平米/月,暂无信息,精诚房产
