名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司
莲鼎苑,浦东北蔡,新陈路280弄,66548, 板楼, 271户, 25栋, 商品房, 2002年 , 1.2元/平米/月, 建工物业
北蔡大街小区,浦东北蔡,"北蔡大街31弄, 北蔡大街32弄, 北蔡大街17号, 沪南路671号",52118, 板楼, 396户, 25栋, 商品房/售后公房/动迁安置房/使用权, 1982-1995年 , 0.3元/平米/月, 上海莲溪物业管理有限公司
大华锦绣华城(十街区),浦东北蔡,下南路1071弄1-32号,73105, 板楼, 484户, 31栋, 商品房/动迁安置房, 2005年 , 0.55至1元/平米/月, 上海浦华物业管理有限公司
华安公寓(浦东),浦东北蔡,高科西路2960弄,52520, 板楼, 48户, 4栋, 商品房/动迁安置房, 1998年 , 1元/平米/月, 上海爱家物业管理有限公司
芳华路188弄,浦东北蔡,芳华路188弄,55498, 板楼, 280户, 24栋, 商品房/动迁安置房, 1995年 , 0.7元/平米/月, 上海浦东新区花木物业公司
海上国际花园(一期),浦东北蔡,成山路2399弄2-91号,89871, 板楼, 958户, 85栋, 商品房/动迁安置房/使用权, 2005-2006年 , 1.5至2.89元/平米/月, 上海万科物业服务有限公司
由由三村,浦东北蔡,"严中路140弄,严杨路116弄,严杨路166弄",56141, 板楼, 1228户, 95栋, 商品房/售后公房/动迁安置房/使用权, 1991-2001年 , 0.45至0.8元/平米/月, 暂无信息
欣顺小区,浦东北蔡,下南路309弄1-22号,50700, 板楼, 396户, 22栋, 商品房, 1995-1997年 , 0.5元/平米/月, 上海绿地物业服务有限公司
莲园路488-518号,浦东北蔡,"莲园路518号, 莲园路488号, 莲园路498号, 莲园路508号",45773, 板楼, 96户, 4栋, 商品房/售后公房/动迁安置房, 1994-1996年 , 0.35至0.5元/平米/月, 上海莲溪物业管理有限公司
芳华路713弄,浦东北蔡,芳华路713弄,49183, 板楼, 360户, 24栋, 商品房/已购公房/动迁安置房, 1994-1996年 , 0.6元/平米/月, 上海花木物业
芳草路253弄,浦东北蔡,芳草路253弄,67910, 板楼, 100户, 9栋, 商品房/动迁安置房, 2001年 , 0.35元/平米/月, 上海源开房地产开发公司
莲中路250弄,浦东北蔡,莲中路250弄,53491, 板楼, 238户, 17栋, 商品房/动迁安置房, 1994-1997年 , 0.45至0.8元/平米/月, 上海万泰物业管理有限公司
新陈路428弄,浦东北蔡,新陈路428弄,51729, 板楼, 156户, 12栋, 商品房, 1993年 , 0.5元/平米/月, 上海建工物业有限公司
芳华苑,浦东北蔡,"芳华路329弄,芳华路503弄",59732, 板楼, 546户, 45栋, 商品房/使用权, 1994-2001年 , 0.6至0.65元/平米/月, 上海良新物业
花木新村,浦东北蔡,芳华路310弄,51638, 板楼, 630户, 45栋, 商品房/动迁安置房, 1994-1996年 , 0.35至0.8元/平米/月, 上海浦东新区花木物业公司
芳华路673弄,浦东北蔡,芳华路673弄,53530, 板楼, 228户, 18栋, 商品房, 1995-1996年 , 0.6元/平米/月, 上海花木物业
芳佳苑,浦东北蔡,芳草路36弄,70850, 板楼, 290户, 25栋, 商品房/售后公房, 1999-2001年 , 0.68至2.93元/平米/月, 长华物业公司
芳芯苑,浦东北蔡,"芳草路352弄, 芳芯路363弄",55437, 板楼, 540户, 43栋, 商品房/售后公房/动迁安置房, 1994-2003年 , 0.35至0.75元/平米/月, 上海航帆物业管理有限公司
莲文苑,浦东北蔡,莲园路77弄,73682, 板楼, 342户, 27栋, 商品房/动迁安置房, 2004年 , 0.8至1.1元/平米/月, 上海东莲物业管理公司
金旋小区,浦东北蔡,"北艾路1128弄1-28号,北艾路1130弄1-5号",56064, 板楼, 734户, 33栋, 商品房/动迁安置房, 1994-1995年 , 0.8元/平米/月, 任傶物业
芳华路253弄,浦东北蔡,芳华路253弄,57166, 板楼, 330户, 24栋, 商品房/动迁安置房, 1995-1996年 , 0.65至0.8元/平米/月, 上海花木物业
芳华路411弄,浦东北蔡,芳华路411弄,57328, 板楼, 224户, 17栋, 商品房/动迁安置房, 1995-1996年 , 0.6元/平米/月, 花木物业
芳华路229弄,浦东北蔡,芳华路229弄,56506, 板楼, 294户, 26栋, 商品房/动迁安置房/使用权, 1998年 , 0.35至0.65元/平米/月, 上海花木物业
联勤小区,浦东北蔡,锦绣路3841弄,45019, 板楼, 312户, 26栋, 商品房, 1998年 , 0.5至1.2元/平米/月, 上海长银物业发展有限公司
南新三村,浦东北蔡,下南路339弄,45510, 板楼, 1040户, 66栋, 商品房/售后公房/动迁安置房, 1994-1997年 , 0.8元/平米/月, 上海长银物业发展有限公司
连波路66弄,浦东北蔡,连波路66弄,56876, 板楼, 93户, 7栋, 商品房, 1994-1995年 , 0.65至0.8元/平米/月, 泰欣物业
芳华路268弄,浦东北蔡,芳华路268弄,59453, 板楼, 312户, 28栋, 商品房/动迁安置房/使用权, 1994-1996年 , 0.65至0.85元/平米/月, 上海陆家嘴双乐物业管理有限公司
绿川小区,浦东北蔡,"博华路999弄,博华路1018弄",46464, 板楼, 1914户, 150栋, 商品房/售后公房/动迁安置房/使用权, 1995-1997年 , 0.5至0.8元/平米/月, 上海长银物业发展有限公司
虞泽苑,浦东北蔡,"鹏飞路101弄,鹏飞路51弄",70475, 板楼, 738户, 16栋, 商品房/动迁安置房, 2012年 , 1.12元/平米/月, 上海莲溪物业管理有限公司
大华锦绣华城(十九街区)(别墅),浦东北蔡,锦绣路3338弄,105613, 板楼, 84户, 84栋, 商品房, 2003-2006年 , 1.35元/平米/月, 上海浦华物业管理有限公司
莲鼎苑,浦东北蔡,新陈路280弄,66548, 板楼, 271户, 25栋, 商品房, 2002年 , 1.2元/平米/月, 建工物业
北蔡大街小区,浦东北蔡,"北蔡大街31弄, 北蔡大街32弄, 北蔡大街17号, 沪南路671号",52118, 板楼, 396户, 25栋, 商品房/售后公房/动迁安置房/使用权, 1982-1995年 , 0.3元/平米/月, 上海莲溪物业管理有限公司
大华锦绣华城(十街区),浦东北蔡,下南路1071弄1-32号,73105, 板楼, 484户, 31栋, 商品房/动迁安置房, 2005年 , 0.55至1元/平米/月, 上海浦华物业管理有限公司
华安公寓(浦东),浦东北蔡,高科西路2960弄,52520, 板楼, 48户, 4栋, 商品房/动迁安置房, 1998年 , 1元/平米/月, 上海爱家物业管理有限公司
芳华路188弄,浦东北蔡,芳华路188弄,55498, 板楼, 280户, 24栋, 商品房/动迁安置房, 1995年 , 0.7元/平米/月, 上海浦东新区花木物业公司
莲溪一村,浦东北蔡,北中路354弄,53196, 板楼, 464户, 24栋, 商品房/动迁安置房/使用权, 1993-1995年 , 1元/平米/月, 陆家嘴物业公司
芳华路411弄,浦东北蔡,芳华路411弄,57328, 板楼, 224户, 17栋, 商品房/动迁安置房, 1995-1996年 , 0.6元/平米/月, 花木物业
金旋小区,浦东北蔡,"北艾路1128弄1-28号,北艾路1130弄1-5号",56064, 板楼, 734户, 33栋, 商品房/动迁安置房, 1994-1995年 , 0.8元/平米/月, 任傶物业
芳华路253弄,浦东北蔡,芳华路253弄,57166, 板楼, 330户, 24栋, 商品房/动迁安置房, 1995-1996年 , 0.65至0.8元/平米/月, 上海花木物业
芳芯苑,浦东北蔡,"芳草路352弄, 芳芯路363弄",55437, 板楼, 540户, 43栋, 商品房/售后公房/动迁安置房, 1994-2003年 , 0.35至0.75元/平米/月, 上海航帆物业管理有限公司
莲文苑,浦东北蔡,莲园路77弄,73682, 板楼, 342户, 27栋, 商品房/动迁安置房, 2004年 , 0.8至1.1元/平米/月, 上海东莲物业管理公司
芳华路268弄,浦东北蔡,芳华路268弄,59453, 板楼, 312户, 28栋, 商品房/动迁安置房/使用权, 1994-1996年 , 0.65至0.85元/平米/月, 上海花木物业
芳华路229弄,浦东北蔡,芳华路229弄,56506, 板楼, 294户, 26栋, 商品房/动迁安置房/使用权, 1998年 , 0.35至0.65元/平米/月, 上海花木物业
联勤小区,浦东北蔡,锦绣路3841弄,45019, 板楼, 312户, 26栋, 商品房, 1998年 , 0.5至1.2元/平米/月, 上海长银物业发展有限公司
南新三村,浦东北蔡,下南路339弄,45510, 板楼, 1040户, 66栋, 商品房/售后公房/动迁安置房, 1994-1997年 , 0.8元/平米/月, 上海长银物业发展有限公司
连波路66弄,浦东北蔡,连波路66弄,56876, 板楼, 93户, 7栋, 商品房, 1994-1995年 , 0.65至0.8元/平米/月, 泰欣物业
莲溪五村,浦东北蔡,莲中路255弄,55575, 板楼, 262户, 20栋, 商品房/动迁安置房/使用权, 1994-1996年 , 0.5元/平米/月, 嘉宝物业
芳雅苑,浦东北蔡,"芳华路630弄,芳华路660弄",54566, 板楼, 983户, 56栋, 商品房/动迁安置房/使用权, 1993-1996年 , 0.35至0.8元/平米/月, 上海航帆物业管理有限公司
莲溪三村,浦东北蔡,"北中路480弄,莲溪路399弄",51935, 板楼, 672户, 56栋, 商品房/动迁安置房/使用权, 1991-1998年 , 0.35至0.79元/平米/月, 上海浦东新区北房物业公司
新花苑,浦东北蔡,芳华路136弄,56887, 板楼, 254户, 20栋, 商品房, 1995-1996年 , 0.6元/平米/月, 上海宝隆物业管理有限公司
由由民丰苑,浦东北蔡,严桥路19弄,66069, 板楼, 161户, 8栋, 商品房/动迁安置房, 2002年 , 0.8元/平米/月, 上海由由(集团)股份有限公司
由由五村,浦东北蔡,"严中路300弄,严中路388弄",57429, 板楼, 957户, 70栋, 商品房/售后公房/动迁安置房, 1994-1997年 , 0.8元/平米/月, 上海由由物业管理有限公司
聚龙家园,浦东北蔡,芳华路916弄,67338, 板楼, 1042户, 90栋, 商品房/动迁安置房, 2002-2003年 , 0.35至0.6元/平米/月, 聚龙物业
天池二村,浦东北蔡,莲园路8弄(北艾路155弄2支弄,53595, 板楼/塔板结合, 857户, 56栋, 商品房/售后公房/动迁安置房/使用权, 1991-2000年 , 0.6至0.8元/平米/月, 上海吉松物业管理中心
莲怡苑,浦东北蔡,"莲安东路367弄,莲溪路477弄",74108, 板楼, 604户, 53栋, 商品房/动迁安置房, 2001-2005年 , 0.6至0.8元/平米/月, 上海三凌物业管理公司
莲珠大厦,浦东北蔡,沪南路1087号,48927, 塔板结合, 2175户, 1栋, 商品房/使用权, 2003年 , 1元/平米/月, 上海东莲物业管理有限公司
芳丽苑,浦东北蔡,芳草路232弄,65953, 板楼, 96户, 9栋, 商品房, 2002年 , 0.8元/平米/月, 上海培花物业管理有限公司
由由二村,浦东北蔡,"严民路40弄,严镇路75弄1-28号",53015, 板楼, 968户, 69栋, 商品房/售后公房/动迁安置房/使用权, 1994-1998年 , 0.8元/平米/月, 上海由由物业管理有限公司
莲杨苑,浦东北蔡,莲溪路780弄,66143, 板楼, 540户, 47栋, 商品房/动迁安置房, 2004-2005年 , 1至1.2元/平米/月, 上海东莲物业管理有限公司
绿星小区,浦东北蔡,下南路225弄,43678, 板楼, 924户, 60栋, 商品房/售后公房, 1994-1999年 , 0.8元/平米/月, 上海长银物业发展有限公司
由由七村,浦东北蔡,"严桥路108弄,严桥路150弄,严桥路240弄,高科西路1655弄",57919, 板楼, 1284户, 81栋, 商品房/动迁安置房, 1995-1998年 , 0.5至0.8元/平米/月, 上海由由物业管理有限公司
由由新邸,浦东北蔡,严桥路58弄,71685, 板楼, 949户, 33栋, 商品房/动迁安置房, 2000-2003年 , 0.8至1.35元/平米/月, 上海由由物业管理有限公司
大华锦绣华城(九街区),浦东北蔡,北艾路1200弄1-72号,77516, 板楼, 1111户, 68栋, 商品房/动迁安置房, 2005-2006年 , 0.5至1元/平米/月, 浦华物业
宏莲馨苑,浦东北蔡,莲园路151弄1-22号,74277, 板楼, 282户, 20栋, 商品房, 2003年 , 0.85元/平米/月, 上海开伦物业管理有限公司
艾东小区,浦东北蔡,杨高南路2451弄,57401, 板楼, 1003户, 59栋, 商品房/售后公房/动迁安置房, 1986-1996年 , 0.35至0.8元/平米/月, 普三物业公司
芳华路9弄,浦东北蔡,芳华路9弄,57142, 板楼, 144户, 6栋, 商品房, 1994年 , 0.6元/平米/月, 上海花木物业
北蔡苑,浦东北蔡,莲安西路185弄,55230, 板楼, 217户, 23栋, 商品房/动迁安置房/使用权, 2000年 , 0.45元/平米/月, 上海东莲物业管理有限公司
芳草苑(浦东),浦东北蔡,芳草路153弄,62881, 板楼, 164户, 14栋, 商品房, 1998年 , 0.65元/平米/月, 上海花木物业
惠德新邨,浦东北蔡,芳华路573弄,50942, 板楼, 692户, 35栋, 商品房/售后公房/动迁安置房, 1995-1996年 , 0.45元/平米/月, 惠德物业
莲业新村,浦东北蔡,"莲安西路125弄24-77号, 莲安西路125弄32支弄, 莲安西路125弄32支弄20号",52282, 板楼, 922户, 67栋, 商品房/售后公房/动迁安置房/使用权, 1994-1997年 , 0.35至0.8元/平米/月, 福田物业
申波苑,浦东北蔡,申波路83弄,67049, 板楼, 204户, 17栋, 商品房/动迁安置房, 2003-2008年 , 0.55元/平米/月, 上海浦东新区花木物业公司
海东公寓,浦东北蔡,莲园路100弄,52024, 板楼, 703户, 61栋, 商品房/动迁安置房/使用权, 1996-2002年 , 0.35元/平米/月, 东缘物业有限公司
海上国际花园(二期),浦东北蔡,博华路380弄1-2号,0, 板楼, 243户, 3栋, 商品房/动迁安置房, 2006-2008年 , 1.88至2.8元/平米/月, 上海杨房物业管理有限公司
天池二村,浦东北蔡,莲园路8弄(北艾路155弄2支弄,53595, 板楼/塔板结合, 857户, 56栋, 商品房/售后公房/动迁安置房/使用权, 1991-2000年 , 0.6至0.8元/平米/月, 上海吉松物业管理中心
莲怡苑,浦东北蔡,"莲安东路367弄,莲溪路477弄",74108, 板楼, 604户, 53栋, 商品房/动迁安置房, 2001-2005年 , 0.6至0.8元/平米/月, 上海三凌物业管理公司
绿川家园,浦东北蔡,陈春路221弄,65005, 板楼, 228户, 19栋, 商品房/使用权, 2002年 , 0.5元/平米/月, 上海绿地物业服务有限公司
莲溪六村,浦东北蔡,"莲溪路126弄,莲园路555弄",52453, 板楼, 1029户, 52栋, 商品房/动迁安置房/使用权, 1994-1997年 , 0.35至0.79元/平米/月, 上海浦东新区北房物业公司
鹏海小区,浦东北蔡,"五星路151弄,五星路231弄,五星路239弄",53664, 板楼, 1956户, 150栋, 商品房/售后公房/动迁安置房, 1996-1997年 , 0.5至0.8元/平米/月, 上海建工物业有限公司
世外桃源,浦东北蔡,莲溪路99弄,112194, 板楼/平房, 105户, 91栋, 商品房/使用权, 1994-2016年 , 3元/平米/月, 暂无信息
环龙公寓,浦东北蔡,高科西路2907弄,61526, 板楼, 243户, 18栋, 商品房/使用权, 2002年 , 1元/平米/月, 上海中凯物业有限公司
由由民丰苑,浦东北蔡,严桥路19弄,66069, 板楼, 161户, 8栋, 商品房/动迁安置房, 2002年 , 0.8元/平米/月, 上海由由(集团)股份有限公司
莲珠大厦,浦东北蔡,沪南路1087号,48927, 塔板结合, 2175户, 1栋, 商品房/使用权, 2003年 , 1元/平米/月, 上海东莲物业管理有限公司
莲溪五村,浦东北蔡,莲中路255弄,55575, 板楼, 262户, 20栋, 商品房/动迁安置房/使用权, 1994-1996年 , 0.5元/平米/月, 嘉宝物业
由由二村,浦东北蔡,"严民路40弄,严镇路75弄1-28号",53015, 板楼, 968户, 69栋, 商品房/售后公房/动迁安置房/使用权, 1994-1998年 , 0.8元/平米/月, 上海由由物业管理有限公司
艾东小区,浦东北蔡,杨高南路2451弄,57401, 板楼, 1003户, 59栋, 商品房/售后公房/动迁安置房, 1986-1996年 , 0.35至0.8元/平米/月, 普三物业公司
龙港新村,浦东北蔡,"高科西路3030弄,高科西路3050弄",49654, 板楼, 769户, 58栋, 商品房/售后公房/动迁安置房, 1994-1999年 , 0.45至1元/平米/月, 建工物业
虹南小区(浦东),浦东北蔡,"沪南路1391弄, 沪南路911号, 沪南公路1361弄, 沪南路1351弄",51656, 板楼, 407户, 25栋, 商品房/售后公房/动迁安置房/使用权, 1984-1995年 , 0.4至7元/平米/月, 上海浦东物业管理公司
绿川馨康苑,浦东北蔡,博华路930弄,60662, 板楼, 430户, 36栋, 商品房, 2002-2004年 , 0.9元/平米/月, 上海绿地物业服务有限公司
莲安东路80弄,浦东北蔡,莲安东路80弄,52410, 板楼, 240户, 14栋, 商品房/动迁安置房, 1994年 , 0.48至0.5元/平米/月, 浦房物业服务中心有限公司
宝华海尚郡领(别墅),浦东北蔡,成山路2388号,188348, 板楼, 49户, 49栋, 商品房/使用权, 2014-2015年 , 2.88至4.4元/平米/月, 暂无信息
陆家嘴锦绣里,浦东北蔡,博华路498弄,84660, 板楼, 824户, 13栋, 商品房/动迁安置房/使用权, 2015-2016年 , 2.58元/平米/月, 上海双乐物业管理有限公司
莲溪大楼,浦东北蔡,北中路408弄,51829, 塔楼, 144户, 1栋, 商品房, 1993-1995年 , 1元/平米/月, 东莲物业
芳丽苑,浦东北蔡,芳草路232弄,65953, 板楼, 96户, 9栋, 商品房, 2002年 , 0.8元/平米/月, 上海培花物业管理有限公司
白杨小区,浦东北蔡,"白杨路1155弄, 白杨路1065弄",54925, 板楼, 334户, 29栋, 商品房, 1995-1996年 , 0.43至0.65元/平米/月, 上海陆家嘴物业管理有限公司
莲宏苑,浦东北蔡,"北中路247弄,莲园路468弄",71414, 板楼, 370户, 33栋, 商品房, 1992-2002年 , 0.8元/平米/月, 建工物业
申波苑,浦东北蔡,申波路83弄,67049, 板楼, 204户, 17栋, 商品房/动迁安置房, 2003-2008年 , 0.55元/平米/月, 上海浦东新区花木物业公司
世外桃源,浦东北蔡,莲溪路99弄,112194, 板楼/平房, 105户, 91栋, 商品房/使用权, 1994-2016年 , 3元/平米/月, 暂无信息
南新苑,浦东北蔡,下南路465弄,57246, 板楼, 144户, 12栋, 商品房, 2001年 , 0.8元/平米/月, 上海万科物业管理有限公司
锦华花园,浦东北蔡,"北艾路828弄1-28号,锦绣路2866弄1-25号,锦绣路2868弄1-6号",73961, 板楼, 690户, 57栋, 商品房/动迁安置房/使用权, 1997-2000年 , 0.55至1.45元/平米/月, 中原物业公司
东莲大厦,浦东北蔡,沪南路1101号,45242, 塔楼/板楼, 176户, 1栋, 商品房/使用权, 1992-1998年 , 1元/平米/月, 上海东莲物业管理有限公司
鹏海小区,浦东北蔡,"五星路151弄,五星路231弄,五星路239弄",53664, 板楼, 1956户, 150栋, 商品房/售后公房/动迁安置房, 1996-1997年 , 0.5至0.8元/平米/月, 上海建工物业有限公司
环龙公寓,浦东北蔡,高科西路2907弄,61526, 板楼, 243户, 18栋, 商品房/使用权, 2002年 , 1元/平米/月, 上海中凯物业有限公司
绿川家园,浦东北蔡,陈春路221弄,65005, 板楼, 228户, 19栋, 商品房/使用权, 2002年 , 0.5元/平米/月, 上海绿地物业服务有限公司
莲业新村,浦东北蔡,"莲安西路125弄24-77号, 莲安西路125弄32支弄, 莲安西路125弄32支弄20号",52282, 板楼, 922户, 67栋, 商品房/售后公房/动迁安置房/使用权, 1994-1997年 , 0.35至0.8元/平米/月, 福田物业
欣顺小区,浦东北蔡,下南路309弄1-22号,50700, 板楼, 396户, 22栋, 商品房, 1995-1997年 , 0.5元/平米/月, 上海绿地物业服务有限公司
莲园路488-518号,浦东北蔡,"莲园路518号, 莲园路488号, 莲园路498号, 莲园路508号",45773, 板楼, 96户, 4栋, 商品房/售后公房/动迁安置房, 1994-1996年 , 0.35至0.5元/平米/月, 上海莲溪物业管理有限公司
莲中路191弄,浦东北蔡,莲中路191弄,44176, 板楼, 48户, 4栋, 商品房, 1993年 , 0.8元/平米/月, 上海莲溪物业管理有限公司
康琳大楼,浦东北蔡,杨高南路2875号,0, 板楼, 235户, 4栋, 商品房, 2001年 , 9元/平米/月, 上海杨高物业管理有限公司
绿苑别墅,浦东北蔡,博华路971弄,0, 板楼, 47户, 47栋, 商品房/使用权, 2000年 , 2元/平米/月, 上海绿地资产管理有限公司
锦三角花园(别墅),浦东北蔡,锦绣路2885弄,0, 板楼, 10户, 10栋, 商品房, 1999-2000年 , 2.5元/平米/月, 上海浦东物业管理公司
大华锦绣华城(十六街区)(别墅),浦东北蔡,成山路1728弄,0, 板楼, 68户, 68栋, 商品房, 2008-2010年 , 2.2元/平米/月, 狮城怡安(上海)物业管理有限公司
花木公寓,浦东北蔡,高科西路2970弄,0, 板楼, 56户, 4栋, 商品房/使用权, 1994-1995年 , 1.25元/平米/月, 金钢物业
南新二村,浦东北蔡,下南路309弄23-70号,47611, 板楼, 553户, 47栋, 商品房, 1993-1999年 , 0.8元/平米/月, 扬帆物业服务有限责任公司
大华锦绣华城(十八街区)(别墅),浦东北蔡,成山路2008弄,98771, 板楼, 243户, 243栋, 商品房, 2006-2007年 , 2.2至4元/平米/月, 上海浦华物业管理有限公司
北蔡休闲广场,浦东北蔡,"北中路183号, 北中路187弄, 北中路191号",0, 未知类型, 73户, 33栋, 商品房/使用权/私产, 2010-2011年 , 暂无信息, 暂无信息
莲中路169弄,浦东北蔡,莲中路169弄,54412, 板楼, 48户, 4栋, 商品房, 1993年 , 0.8元/平米/月, 上海莲溪物业管理有限公司
芳草路238弄,浦东北蔡,芳草路238弄,60768, 板楼, 64户, 6栋, 商品房, 2001年 , 0.6至6元/平米/月, 欣达物业
北中路328弄,浦东北蔡,北中路328弄07号,47230, 板楼, 96户, 8栋, 商品房, 1993年 , 0.5元/平米/月, 上海浦东新区北房物业公司
五星花园,浦东北蔡,五星花园,0, 板楼, 62户, 61栋, 商品房/使用权, 2003-2007年 , 2元/平米/月, 上海东方航空物业有限公司
北中路248号,浦东北蔡,北中路248号,0, 板楼, 24户, 1栋, 商品房, 1990年 , 1元/平米/月, 上海浦东物业管理公司
大华锦绣华城(十七街区)(公寓),浦东北蔡,成山路1850弄,112845, 板楼, 100户, 3栋, 商品房/动迁安置房, 2014年 , 4元/平米/月, 上海浦华物业管理有限公司
莲安西路35弄,浦东北蔡,莲安西路35弄,55067, 板楼, 36户, 3栋, 商品房, 1994年 , 暂无信息, 暂无信息
芳芯路400弄,浦东北蔡,芳芯路400弄,0, 板楼, 96户, 8栋, 使用权, 1995年 , 0.5元/平米/月, 上海陆家嘴物业管理有公司
杨莲路217、219号,浦东北蔡,杨莲路217、219号,0, 板楼, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
北艾路227弄22号,浦东北蔡,北艾路227弄22号,0, 未知类型, 2户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
莲安东路326-332号,浦东北蔡,莲安东路326-332号,0, 未知类型, 3户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
北艾路1254号,浦东北蔡,北艾路1254号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
高科西路2837号,浦东北蔡,高科西路2837号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
高科西路2839号,浦东北蔡,高科西路2839号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
高科西路2841号,浦东北蔡,高科西路2841号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
杨莲路209号,浦东北蔡,杨莲路209号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
